Index,Problem,Percentage,Difficulty,Status
1,1. Two Sum,55.3%,Easy,~visited
2,2. Add Two Numbers,45.7%,Med.,~visited
3,3. Longest Substring Without Repeating Characters,36.5%,Med.,~visited
4,4. Median of Two Sorted Arrays,43.2%,Hard,~visited
5,8. String to Integer (atoi),18.9%,Med.,~visited
6,12. Integer to Roman,68.0%,Med.,~visited
7,14. Longest Common Prefix,45.1%,Easy,~visited
8,16. 3Sum Closest,46.7%,Med.,~visited
9,18. 4Sum,37.8%,Med.,~visited
10,20. Valid Parentheses,42.0%,Easy,~visited
11,28. Find the Index of the First Occurrence in a String,44.6%,Easy,~visited
12,33. Search in Rotated Sorted Array,42.5%,Med.,~visited
13,41. First Missing Positive,40.8%,Hard,~visited
14,42. Trapping Rain Water,64.5%,Hard,~visited
15,44. Wildcard Matching,29.5%,Hard,~visited
16,45. Jump Game II,41.2%,Med.,~visited
17,48. Rotate Image,77.4%,Med.,~visited
18,49. Group Anagrams,70.5%,Med.,~visited
19,52. N-Queens II,76.2%,Hard,~visited
20,53. Maximum Subarray,51.8%,Med.,~visited
21,55. Jump Game,39.2%,Med.,~visited
22,57. Insert Interval,43.1%,Med.,~visited
23,59. Spiral Matrix II,73.1%,Med.,~visited
24,64. Minimum Path Sum,66.0%,Med.,~visited
25,65. Valid Number,21.2%,Hard,~visited
26,67. Add Binary,55.3%,Easy,~visited
27,68. Text Justification,47.4%,Hard,~visited
28,74. Search a 2D Matrix,51.9%,Med.,~visited
29,77. Combinations,72.5%,Med.,~visited
30,82. Remove Duplicates from Sorted List II,49.4%,Med.,~visited
31,85. Maximal Rectangle,53.1%,Hard,~visited
32,87. Scramble String,41.8%,Hard,~visited
33,89. Gray Code,61.3%,Med.,~visited
34,90. Subsets II,59.0%,Med.,~visited
35,100. Same Tree,64.6%,Easy,~visited
36,101. Symmetric Tree,58.8%,Easy,~visited
37,107. Binary Tree Level Order Traversal II,65.5%,Med.,~visited
38,111. Minimum Depth of Binary Tree,50.2%,Easy,~visited
