Index,Problem,Percentage,Difficulty,Status
1,539. Minimum Time Difference,62.3%,Medium,~visited
2,1014. Best Sightseeing Pair,62.6%,Medium,~visited
3,39. Combination Sum,74.1%,Medium,~visited
4,6. Zigzag Conversion,51.0%,Medium,~visited
5,560. Subarray Sum Equals K,45.1%,Medium,~visited
6,207. Course Schedule,48.7%,Medium,~visited
7,2035. Partition Array Into Two Arrays to Minimize Sum Difference,21.3%,Hard,~visited
8,446. Arithmetic Slices II - Subsequence,54.5%,Hard,~visited
9,1422. Maximum Score After Splitting a String,65.2%,Easy,~visited
10,741. Cherry Pickup,37.7%,Hard,~visited
11,943. Find the Shortest Superstring,44.1%,Hard,~visited
12,407. Trapping Rain Water II,58.7%,Hard,~visited
13,25. Reverse Nodes in k-Group,62.3%,Hard,~visited
14,224. Basic Calculator,45.1%,Hard,~visited
15,1401. Circle and Rectangle Overlapping,48.6%,Medium,~visited
16,1718. Construct the Lexicographically Largest Valid Sequence,73.2%,Medium,~visited
17,1740. Find Distance in a Binary Tree,73.9%,Medium,~visited
18,1943. Describe the Painting,50.8%,Medium,~visited
19,3275. K-th Nearest Obstacle Queries,47.9%,Medium,~visited
20,3347. Maximum Frequency of an Element After Performing Operations II,37.2%,Hard,~visited
21,51. N-Queens,72.0%,Hard,~visited
22,62. Unique Paths,65.5%,Medium,~visited
23,54. Spiral Matrix,53.2%,Medium,~visited
24,337. House Robber III,54.8%,Medium,~visited
25,380. Insert Delete GetRandom O(1),55.0%,Medium,~visited
26,564. Find the Closest Palindrome,31.6%,Hard,~visited
27,31. Next Permutation,42.5%,Medium,~visited
28,356. Line Reflection,35.9%,Medium,~visited
29,1036. Escape a Large Maze,35.2%,Hard,~visited
30,3282. Reach End of Array With Max Score,32.4%,Medium,~visited
31,57. Insert Interval,43.1%,Medium,~visited
32,1942. The Number of the Smallest Unoccupied Chair,60.5%,Medium,~visited
33,994. Rotting Oranges,56.1%,Medium,~visited
34,1028. Recover a Tree From Preorder Traversal,83.3%,Hard,~visited
35,27. Remove Element,59.6%,Easy,~visited
36,1508. Range Sum of Sorted Subarray Sums,63.1%,Medium,~visited
37,67. Add Binary,55.3%,Easy,~visited
38,136. Single Number,75.5%,Easy,~visited
39,552. Student Attendance Record II,55.7%,Hard,~visited
40,470. Implement Rand10() Using Rand7(),45.9%,Medium,~visited
41,767. Reorganize String,55.9%,Medium,~visited
42,1601. Maximum Number of Achievable Transfer Requests,64.4%,Hard,~visited
43,2364. Count Number of Bad Pairs,54.5%,Medium,~visited
44,362. Design Hit Counter,69.1%,Medium,~visited
45,1642. Furthest Building You Can Reach,50.2%,Medium,~visited
46,26. Remove Duplicates from Sorted Array,59.7%,Easy,~visited
47,45. Jump Game II,41.2%,Medium,~visited
48,349. Intersection of Two Arrays,76.1%,Easy,~visited
49,202. Happy Number,57.7%,Easy,~visited
50,249. Group Shifted Strings,67.1%,Medium,~visited
51,2516. Take K of Each Character From Left and Right,51.7%,Medium,~visited
52,2510. Check if There is a Path With Equal Number of 0's And 1's,51.2%,Medium,~visited
53,1331. Rank Transform of an Array,70.6%,Easy,~visited
54,1476. Subrectangle Queries,88.3%,Medium,~visited
55,55. Jump Game,39.2%,Medium,~visited
