Index,Problem,Percentage,Difficulty,Status
1,1. Two Sum,55.3%,Easy,~visited
2,2667. Create Hello World Function,82.0%,Easy,~visited
3,1768. Merge Strings Alternately,82.0%,Easy,~visited
4,1757. Recyclable and Low Fat Products,89.3%,Easy,~visited
5,9. Palindrome Number,58.8%,Easy,~visited
6,42. Trapping Rain Water,64.5%,Hard,~visited
7,4. Median of Two Sorted Arrays,43.2%,Hard,~visited
8,3. Longest Substring Without Repeating Characters,36.5%,Med.,~visited
9,15. 3Sum,36.6%,Med.,~visited
10,88. Merge Sorted Array,52.4%,Easy,~visited
11,2. Add Two Numbers,45.7%,Med.,~visited
12,14. Longest Common Prefix,45.1%,Easy,~visited
13,70. Climbing Stairs,53.4%,Easy,~visited
14,53. Maximum Subarray,51.8%,Med.,~visited
15,11. Container With Most Water,57.3%,Med.,~visited
16,169. Majority Element,65.6%,Easy,~visited
17,20. Valid Parentheses,42.0%,Easy,~visited
18,200. Number of Islands,61.8%,Med.,~visited
19,5. Longest Palindromic Substring,35.4%,Med.,~visited
20,2235. Add Two Integers,88.1%,Easy,~visited
21,35. Search Insert Position,48.5%,Easy,~visited
22,1101. The Earliest Moment When Everyone Become Friends,65.6%,Med.,~visited
23,7. Reverse Integer,30.0%,Med.,~visited
24,48. Rotate Image,77.4%,Med.,~visited
25,283. Move Zeroes,62.6%,Easy,~visited
26,31. Next Permutation,42.5%,Med.,~visited
27,75. Sort Colors,66.6%,Med.,~visited
28,51. N-Queens,72.0%,Hard,~visited
29,22. Generate Parentheses,76.7%,Med.,~visited
30,21. Merge Two Sorted Lists,66.4%,Easy,~visited
31,26. Remove Duplicates from Sorted Array,59.7%,Easy,~visited
32,13. Roman to Integer,64.4%,Easy,~visited
33,206. Reverse Linked List,78.8%,Easy,~visited
34,131. Palindrome Partitioning,71.6%,Med.,~visited
35,347. Top K Frequent Elements,64.2%,Med.,~visited
36,189. Rotate Array,42.6%,Med.,~visited
37,"50. Pow(x, n)",36.6%,Med.,~visited
38,27. Remove Element,59.6%,Easy,~visited
39,584. Find Customer Referee,71.7%,Easy,~visited
40,84. Largest Rectangle in Histogram,46.8%,Hard,~visited
41,215. Kth Largest Element in an Array,67.7%,Med.,~visited
42,78. Subsets,80.4%,Med.,~visited
