Index,Problem,Percentage,Difficulty,Status
1,312. Burst Balloons,60.8%,Hard,~visited
2,200. Number of Islands,61.8%,Med.,~visited
3,146. LRU Cache,44.7%,Med.,~visited
4,2035. Partition Array Into Two Arrays to Minimize Sum Difference,21.3%,Hard,~visited
5,300. Longest Increasing Subsequence,57.3%,Med.,~visited
6,2662. Minimum Cost of a Path With Special Roads,39.8%,Med.,~visited
7,1675. Minimize Deviation in Array,53.9%,Hard,~visited
8,987. Vertical Order Traversal of a Binary Tree,50.6%,Hard,~visited
9,42. Trapping Rain Water,64.5%,Hard,~visited
10,1691. Maximum Height by Stacking Cuboids,59.6%,Hard,~visited
11,653. Two Sum IV - Input is a BST,62.0%,Easy,~visited
12,1830. Minimum Number of Operations to Make String Sorted,49.8%,Hard,~visited
13,785. Is Graph Bipartite?,57.3%,Med.,~visited
14,1464. Maximum Product of Two Elements in an Array,83.1%,Easy,~visited
15,2810. Faulty Keyboard,82.6%,Easy,~visited
16,1301. Number of Paths with Max Score,40.7%,Hard,~visited
17,1139. Largest 1-Bordered Square,50.6%,Med.,~visited
18,3045. Count Prefix and Suffix Pairs II,26.8%,Hard,~visited
19,3080. Mark Elements on Array by Performing Queries,47.4%,Med.,~visited
20,2029. Stone Game IX,28.6%,Med.,~visited
21,1519. Number of Nodes in the Sub-Tree With the Same Label,55.0%,Med.,~visited
22,2639. Find the Width of Columns of a Grid,68.9%,Easy,~visited
23,2642. Design Graph With Shortest Path Calculator,70.6%,Hard,~visited
24,121. Best Time to Buy and Sell Stock,54.9%,Easy,~visited
25,1. Two Sum,55.3%,Easy,~visited
26,9. Palindrome Number,58.8%,Easy,~visited
27,994. Rotting Oranges,56.1%,Med.,~visited
28,15. 3Sum,36.6%,Med.,~visited
29,886. Possible Bipartition,51.3%,Med.,~visited
30,53. Maximum Subarray,51.8%,Med.,~visited
31,849. Maximize Distance to Closest Person,48.8%,Med.,~visited
32,2. Add Two Numbers,45.7%,Med.,~visited
33,20. Valid Parentheses,42.0%,Easy,~visited
34,1590. Make Sum Divisible by P,39.5%,Med.,~visited
35,33. Search in Rotated Sorted Array,42.5%,Med.,~visited
36,56. Merge Intervals,49.0%,Med.,~visited
37,208. Implement Trie (Prefix Tree),67.6%,Med.,~visited
38,5. Longest Palindromic Substring,35.4%,Med.,~visited
39,7. Reverse Integer,30.0%,Med.,~visited
40,8. String to Integer (atoi),18.9%,Med.,~visited
41,11. Container With Most Water,57.3%,Med.,~visited
42,141. Linked List Cycle,52.1%,Easy,~visited
43,142. Linked List Cycle II,54.2%,Med.,~visited
44,14. Longest Common Prefix,45.1%,Easy,~visited
45,402. Remove K Digits,34.6%,Med.,~visited
46,18. 4Sum,37.8%,Med.,~visited
47,23. Merge k Sorted Lists,56.1%,Hard,~visited
48,704. Binary Search,59.3%,Easy,~visited
49,2751. Robot Collisions,56.1%,Hard,~visited
50,295. Find Median from Data Stream,53.1%,Hard,~visited
51,296. Best Meeting Point,61.2%,Hard,~visited
52,41. First Missing Positive,40.8%,Hard,~visited
53,45. Jump Game II,41.2%,Med.,~visited
54,46. Permutations,80.3%,Med.,~visited
55,48. Rotate Image,77.4%,Med.,~visited
56,51. N-Queens,72.0%,Hard,~visited
57,1727. Largest Submatrix With Rearrangements,75.2%,Med.,~visited
58,440. K-th Smallest in Lexicographical Order,42.0%,Hard,~visited
59,189. Rotate Array,42.6%,Med.,~visited
60,322. Coin Change,46.0%,Med.,~visited
61,863. All Nodes Distance K in Binary Tree,66.0%,Med.,~visited
62,69. Sqrt(x),40.1%,Easy,~visited
63,75. Sort Colors,66.6%,Med.,~visited
64,206. Reverse Linked List,78.8%,Easy,~visited
65,79. Word Search,44.8%,Med.,~visited
66,84. Largest Rectangle in Histogram,46.8%,Hard,~visited
67,215. Kth Largest Element in an Array,67.7%,Med.,~visited
68,96. Unique Binary Search Trees,62.2%,Med.,~visited
69,235. Lowest Common Ancestor of a Binary Search Tree,67.7%,Med.,~visited
70,108. Convert Sorted Array to Binary Search Tree,73.7%,Easy,~visited
71,124. Binary Tree Maximum Path Sum,41.0%,Hard,~visited
72,1926. Nearest Exit from Entrance in Maze,47.3%,Med.,~visited
73,380. Insert Delete GetRandom O(1),55.0%,Med.,~visited
74,253. Meeting Rooms II,52.0%,Med.,~visited
75,127. Word Ladder,42.1%,Hard,~visited
