subtopic_id,topic_id,chapter_number,subtopic_title,file_path,difficulty,estimated_time_minutes,keywords,last_reviewed,next_review,review_count,mastery_level,notes
ml_01,ml_100days,1,What is Machine Learning,CampusX/100 days-ml/1-What is ML/01_what_is_ml_notes.md,easy,30,"introduction,basics,definition",,,0,0,Basic ML introduction and definitions
ml_02,ml_100days,1,What is Machine Learning (Original),CampusX/100 days-ml/1-What is ML/1-What is machine learning.md,easy,25,"comparison,fundamentals",,,0,0,Understanding differences between AI ML and DL
ml_03,ml_100days,2,AI vs ML vs DL,CampusX/100 days-ml/2-AI vs ML vs DL/2-AI vs ML vs DL.md,easy,40,"supervised,unsupervised,reinforcement",,,0,0,Classification of ML approaches
ml_04,ml_100days,3,Types of Machine Learning,CampusX/100 days-ml/3-Types Of ML/TypesOFML.md,medium,35,"streaming,incremental",,,0,0,Real-time learning systems
ml_05,ml_100days,5,Online Machine Learning,CampusX/100 days-ml/5 - online machine learning/online machine learning.md,medium,45,"eda,analysis,statistics",,,0,0,Data exploration and analysis techniques
ml_06,ml_100days,19,Understanding Your Data,CampusX/100 days-ml/19 - understanding your data/19_understanding_data.ipynb,medium,50,"univariate,visualization,statistics",,,0,0,Single variable data analysis
ml_07,ml_100days,20,EDA Univariate Analysis,CampusX/100 days-ml/20 - eda using univariate Analysis/20_eda_using_univariate_analysis.ipynb,medium,60,"bivariate,correlation,relationships",,,0,0,Two variable relationship analysis
ml_08,ml_100days,21,EDA Bivariate Analysis,CampusX/100 days-ml/21 EDA using Bivariate and Multivariate Analysis/21_eda_usingb_bivariate.ipynb,hard,30,"automation,profiling,pandas",,,0,0,Automated data profiling techniques
ml_09,ml_100days,22,Pandas Profiling,CampusX/100 days-ml/22-Pandas-profiling/22_pandas_profiling.ipynb,medium,40,"scaling,standardization,preprocessing",,,0,0,Data preprocessing and normalization
ml_10,ml_100days,24,Feature Scaling,CampusX/100 days-ml/24 - Feature Scaling - Standardization/Feature_Scaling_Standardization_Day_24.ipynb,medium,40,"scaling,standardization,preprocessing",,,0,0,Data preprocessing and normalization
dl_01,dl_100days,0,Deep Learning Roadmap,CampusX/100-days-deep-learning/00-ROADMAP/deep-learning-roadmap.md,easy,20,"roadmap,planning,curriculum",,,0,0,Learning path for deep learning
dl_02,dl_100days,2,What is Deep Learning,CampusX/100-days-deep-learning/02-what-isdeep-learning.md,medium,35,"introduction,neural networks",,,0,0,Introduction to deep learning concepts
dl_03,dl_100days,3,Types of Neural Networks,CampusX/100-days-deep-learning/03-types-of-neural-network.md,medium,40,"architectures,types,networks",,,0,0,Different neural network architectures
dl_04,dl_100days,4,What is Perceptron,CampusX/100-days-deep-learning/04-what-is-perceptron.md,medium,45,"perceptron,basics,linear",,,0,0,Single layer neural network
dl_05,dl_100days,5,Training Perceptron,CampusX/100-days-deep-learning/05-how-to-train-perceptron-Trick.md,hard,50,"training,algorithms,optimization",,,0,0,Perceptron learning algorithm
dl_06,dl_100days,6,Perceptron Loss Function,CampusX/100-days-deep-learning/06-perceptron_loss_function.md,hard,45,"loss,optimization,cost",,,0,0,Mathematical foundation of training
